x_id,delta_min,delta_max
0x7f9a0f945850,0.24512140452861786,0.2453404664993286
0x7f9a0ff5da30,0.24512140452861786,0.2453404664993286
0x7f9a0f78db20,0.24512089788913727,0.24534086883068085
0x7f9a0ff65990,0.0578223317861557,0.057967472821474075
0x7f9a0ff65bc0,0.0578223317861557,0.057967472821474075
0x7f9a0ff65440,0.05782175436615944,0.057967495173215866
0x7f9a0ff5cf90,0.05781939998269081,0.05796755105257034
0x7f9a0ff65d50,0.05781939998269081,0.05796755105257034
0x7f9a0ff65da0,0.05781763046979904,0.05796758085489273
0x7f9a0f9355d0,0.24511559307575226,0.2453453540802002
0x7f9a0f935fd0,0.24511514604091644,0.24534578621387482
0x7f9a0ff65cb0,0.24511419236660004,0.24534660577774048
0x7f9a0fdcd080,0.24511367082595825,0.24534696340560913
0x7f9a0ff65f80,0.05781332775950432,0.057967495173215866
0x7f9a0ff661b0,0.05781082808971405,0.057967402040958405
0x7f9a0ff65580,0.0578102245926857,0.057967402040958405
0x7f9a0ff662a0,0.0578102245926857,0.057967402040958405
0x7f9a0ff5e250,0.24510987102985382,0.2453484982252121
0x7f9a0ff662f0,0.24510923027992249,0.2453487664461136
0x7f9a0ff646d0,0.05780893936753273,0.05796732380986214
0x7f9a0fb16ed0,0.24510854482650757,0.2453489899635315
0x7f9a0ff66430,0.05780826136469841,0.05796724557876587
0x7f9a0fd6d6c0,0.2451072335243225,0.2453494817018509
0x7f9a0ff65e90,0.2451072335243225,0.2453494817018509
0x7f9a0ff5db20,0.057805635035037994,0.05796702578663826
0x7f9a0ff5e3e0,0.057805635035037994,0.05796702578663826
0x7f9a0ff5e4d0,0.2451053410768509,0.24535030126571655
0x7f9a0ff66340,0.05780361592769623,0.05796681344509125
0x7f9a0ff66700,0.2451033741235733,0.24535106122493744
0x7f9a0ff5e070,0.24510276317596436,0.24535134434700012
0x7f9a0ff66570,0.05780154839158058,0.057966552674770355
0x7f9a0ff5e660,0.05780154839158058,0.057966552674770355
0x7f9a0ff2e5c0,0.2451002150774002,0.24535241723060608
0x7f9a0ff66b60,0.24509713053703308,0.24535374343395233
0x7f9a0ff5ea20,0.24509648978710175,0.24535398185253143
0x7f9a0ff66b10,0.057794343680143356,0.057965438812971115
0x7f9a0ff5ebb0,0.24509519338607788,0.24535445868968964
0x7f9a0ff5ecf0,0.24509455263614655,0.24535469710826874
0x7f9a0f78e520,0.2450939267873764,0.24535498023033142
0x7f9a0f92d990,0.05779225006699562,0.057965174317359924
0x7f9a0ff5e930,0.2450939267873764,0.24535498023033142
0x7f9a0f88ede0,0.24509263038635254,0.245355486869812
0x7f9a0ff6de90,0.2450920045375824,0.2453557699918747
0x7f9a0ff6eed0,0.05778752639889717,0.057964712381362915
0x7f9a0ff6da80,0.24508972465991974,0.24535711109638214
0x7f9a0ff66660,0.05778752639889717,0.057964712381362915
0x7f9a0fe5e700,0.24508865177631378,0.24535784125328064
0x7f9a0ff6d490,0.05778628587722778,0.05796469375491142
0x7f9a0ff67100,0.24508865177631378,0.24535784125328064
0x7f9a0ff6f1a0,0.05778628587722778,0.05796469375491142
0x7f9a0ff6f100,0.05778450146317482,0.057964734733104706
0x7f9a0ff6c4a0,0.2450871765613556,0.24535909295082092
0x7f9a0ff6f240,0.245086669921875,0.24535948038101196
0x7f9a0ff66ed0,0.05778330937027931,0.057964760810136795
0x7f9a0ff66f70,0.24508614838123322,0.245359867811203
0x7f9a0ff65b20,0.057780832052230835,0.05796472355723381
0x7f9a0ff6ed40,0.2450840175151825,0.2453613579273224
0x7f9a0ff66520,0.057780832052230835,0.05796472355723381
0x7f9a0feff150,0.24508348107337952,0.24536171555519104
0x7f9a0ff67330,0.05777955800294876,0.057964663952589035
0x7f9a0fb2ee30,0.2450823038816452,0.24536235630512238
0x7f9a0ff670b0,0.05777892470359802,0.057964641600847244
0x7f9a0f8e6660,0.05777831748127937,0.05796464532613754
0x7f9a0ff5f6f0,0.05777831748127937,0.05796464532613754
0x7f9a0f946250,0.24508130550384521,0.24536314606666565
0x7f9a0ff67790,0.05777716636657715,0.05796470865607262
0x7f9a0ff67740,0.24508033692836761,0.2453639954328537
0x7f9a0ff66480,0.057775434106588364,0.05796480551362038
0x7f9a0ffded40,0.24507610499858856,0.24536700546741486
0x7f9a0ff2f9c0,0.24507559835910797,0.2453674077987671
0x7f9a20297bf0,0.24507459998130798,0.24536821246147156
0x7f9a0ff66c50,0.05776960030198097,0.05796506255865097
0x7f9a0ff5f7e0,0.057767853140830994,0.05796514451503754
0x7f9a0ff6ff60,0.0577649287879467,0.05796525999903679
0x7f9a0ff6f7e0,0.05776434391736984,0.05796528607606888
0x7f9a0ff6f510,0.05776377022266388,0.05796532332897186
0x7f9a0ff6fbf0,0.057763177901506424,0.05796533823013306
0x7f9a0ff6c090,0.057760849595069885,0.05796544998884201
0x7f9a0ff67a60,0.24506554007530212,0.24537454545497894
0x7f9a0ff6c130,0.0577583946287632,0.05796543136239052
0x7f9a0ff6fec0,0.24506357312202454,0.24537619948387146
0x7f9a0ff6c3b0,0.05775776877999306,0.057965412735939026
0x7f9a0faefd30,0.057757116854190826,0.057965368032455444
0x7f9a0ff67f60,0.057757116854190826,0.057965368032455444
0x7f9a0f9373d0,0.24506212770938873,0.24537746608257294
0x7f9a0ff5fec0,0.057755790650844574,0.05796526372432709
0x7f9a0ff6fe20,0.24506212770938873,0.24537746608257294
0x7f9a0ff6c270,0.057755790650844574,0.05796526372432709
0x7f9a0ff5fbf0,0.05775509029626846,0.05796516686677933
0x7f9a0ff6f790,0.05775509029626846,0.05796516686677933
0x7f9a0ff5ff60,0.05775366723537445,0.05796496570110321
0x7f9a0ff6e480,0.24506065249443054,0.24537870287895203
0x7f9a0fbe7c40,0.05775366723537445,0.05796496570110321
0x7f9a0ff5c4f0,0.05775218829512596,0.05796470493078232
0x7f9a0ff6c180,0.05775148421525955,0.05796460807323456
0x7f9a0ff6c2c0,0.05775073915719986,0.057964473962783813
0x7f9a0ff5f240,0.057750023901462555,0.05796436965465546
0x7f9a0ff6c0e0,0.05774858593940735,0.05796414986252785
0x7f9a0ff67510,0.24505628645420074,0.24538163840770721
0x7f9a0ff67d30,0.05774492025375366,0.057963527739048004
0x7f9a0ff6c860,0.057744212448596954,0.057963430881500244
0x7f9a0ff6c9f0,0.24505221843719482,0.2453840672969818
0x7f9a0ff6ca40,0.05774279311299324,0.05796322971582413
0x7f9a0ff5c810,0.24505111575126648,0.2453848272562027
0x7f9a0ff6cb80,0.057739417999982834,0.057962898164987564
0x7f9a0ff6f290,0.057737380266189575,0.05796268954873085
0x7f9a0ff6cae0,0.24504809081554413,0.24538737535476685
0x7f9a0ff6cd10,0.057737380266189575,0.05796268954873085
0x7f9a0ff6cb30,0.057736679911613464,0.05796259641647339
0x7f9a0ff6db20,0.24504555761814117,0.24538947641849518
0x7f9a0ff6fdd0,0.24504505097866058,0.2453899085521698
0x7f9a0ff5ccc0,0.05773341283202171,0.05796239152550697
0x7f9a0ff6d030,0.05773273855447769,0.057962335646152496
0x7f9a0ff67dd0,0.05773137882351875,0.057962194085121155
0x7f9a0ff6cdb0,0.05773137882351875,0.057962194085121155
0x7f9a0f92cf90,0.24504299461841583,0.24539156258106232
0x7f9a0ff6c810,0.05773070082068443,0.05796213075518608
0x7f9a0ff6ce00,0.24504198133945465,0.24539241194725037
0x7f9a0ff6c6d0,0.05772925913333893,0.05796191096305847
0x7f9a0ff6cfe0,0.05772852897644043,0.05796179920434952
0x7f9a0ff6d080,0.2450408637523651,0.24539314210414886
0x7f9a0f93c810,0.24503977596759796,0.24539391696453094
